 44.96777      0             2             2             2021          3 
 51.34741      1             2             2             2021          3 
 67.48384      2             2             2             2021          3 
 71.1355       3             2             2             2021          3 
 67.604        4             2             2             2021          3 
 51.38726      5             2             2             2021          3 
 34.59058      6             2             2             2021          3 
 12.47578      7             2             2             2021          3 
-2.2479        8             2             2             2021          3 
-5.158008      9             2             2             2021          3 
-7.708594      10            2             2             2021          3 
-1.33877       11            2             2             2021          3 
 1.587158      12            2             2             2021          3 
 1.587158      13            2             2             2021          3 
