,1,2,3,4,5,6,7
0,S,S,S,S,S,S,S
1,S,S,S,S,S,S,S
2,S,S,S,S,S,S,S
3,S,S,S,S,S,S,S
4,S,S,S,S,S,S,S
5,S,S,S,S,S,S,S
6,G,G,G,G,G,S,S
7,G,G,G,G,G,S,S
8,S,S,S,S,S,S,S
9,S,S,S,S,S,S,S
10,S,S,S,S,S,S,S
11,S,S,S,S,S,S,S
12,S,S,S,S,S,S,S
13,S,S,S,S,S,S,S
14,S,S,S,S,S,S,S
15,S,S,S,S,S,S,S
16,P,P,P,P,P,G,P
17,P,P,P,P,P,G,P
18,P,P,P,P,P,G,G
19,P,P,P,P,P,G,G
20,P,P,P,P,P,S,S
21,P,P,P,P,P,S,S
22,S,S,S,S,S,S,S
23,S,S,S,S,S,S,S
