flow,se,power,efficiency,head,num_units,unit1,unit2,unit3
6554.1,0.681,4464.5,86.4,216.2,1,OFF,OFF,ON
6588.5,0.681,4483.7,86.5,216.3,1,OFF,ON,OFF
12733.7,0.704,8968.9,86,222.6,2,OFF,ON,ON
6467.5,0.688,4452.1,85.5,216.1,1,ON,OFF,OFF
12627.6,0.708,8938.2,85.5,222.4,2,ON,OFF,ON
12615.4,0.71,8955.4,85.3,222.4,2,ON,ON,OFF
18070.2,0.743,13431.3,84.5,230.8,3,ON,ON,ON
