name,zone,diameter,min_level,max_level,initial_level,final_level,pattern_zone
Tank 1,1,1.128379167,200,500,391,340.9999999,1
Tank 2,2,1.128379167,0,1000,498,467.9999999,2
Tank 3,3,1.128379167,1008,2000,1226,1026,3
Tank 4,4,1.128379167,983.6,1901.6,1370,1170,4
Tank 5,5,1.128379167,1784,3766,2210,1910,5
Tank 6,6,1.128379167,2500,4950,3783,3282.999999,6
Tank 7,7,1.128379167,930,2132,1345,1205,7
Tank 8,8,1.128379167,620.7,1179,989,868.9999998,8
Fictive Tank,99,0.1,0,0.1,0.05,0.05,99
